session_folder,fuente,posicion,onset_ms,fs,LF_125,LF_250,LF_500,LF_1000,LF_2000,LF_4000,LF_mean
J12,F3,P4,481.583,48000,0.9302682278349325,0.674175593201488,0.45205775410659355,0.6630283298325695,0.7826674732556074,0.6646937405216621,0.6944818531254756
G6_SS1,F2,P3,631.521,48000,0.13044752062394302,0.07452834319394458,0.05682381416033363,0.0682334546897191,0.16029830314494256,0.3359790747747217,0.13771841843126742
